"Campaign Name","SourceKey","Owner","Request Status","Campaign Origin","Campaign No","Comments","Status","Campaign Type","IB/NNN","Starting Quarter","Execution Start Date","Execution End Date","Campaign/WBS Code","DAT link for Content","Digital Assets team support","Briefing for DAT","Roles","Industry (MC)","Sub-Industries","Solution Area L1","Solution Area L2","Partner","Region Name (level 2)","Campaign Priority","Creado","SourceListName","SourceID"
"P1_HCQ1","France-5","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_HCQ1",,"Outreach Sequence",,,"[""Healthcare""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","5"
"P1_CHEMQ1","France-3","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_CHEMQ1",,"Outreach Sequence",,,"[""Chemicals""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","3"
"P1_OGEQ1","France-9","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_OGEQ1",,"Outreach Sequence",,,"[""Oil, Gas, and Energy""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","9"
"P1_UTILQ1","France-10","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_UTILQ1",,"Outreach Sequence",,,"[""Utilities""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","10"
"P1_MPMQ1","France-8","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_MPMQ1",,"Outreach Sequence",,,"[""Mill Products and Mining""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","8"
"D1_HTQ1","France-32","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D1_HTQ1",,"Outreach Sequence",,,"[""High Tech""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","32"
"D6_AUTOQ1","France-20","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D6_AUTOQ1",,"Outreach Sequence",,,"[""Automotive""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","20"
"P2_IMQ1","France-15","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P2_IMQ1",,"Outreach Sequence",,,"[""Industrial Manufacturing""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","15"
"P1_HERQ1","France-6","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_HERQ1",,"Outreach Sequence",,,"[""Higher Education and Research""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","6"
"D7_PSQ1","France-35","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D7_PSQ1",,"Outreach Sequence",,,"[""Professional Services""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","35"
